fold,epoch,class,train_loss,val_loss,val_f1_macro,val_f1_micro,val_hamming_loss,lr,epoch_time_sec
5,3,,0.190956,0.169439,0.884968,0.893775,0.0657,0.001,29.63
5,4,,0.169592,0.149914,0.903069,0.907637,0.0589,0.001,29.63
5,5,,0.152885,0.139361,0.909301,0.915076,0.0534,0.001,29.62
5,6,,0.148646,0.163695,0.890553,0.894855,0.0658,0.001,29.65
5,7,,0.144654,0.135222,0.912982,0.918732,0.0518,0.001,29.65
5,8,,0.138958,0.139185,0.911843,0.916719,0.053,0.001,29.67
5,9,,0.129208,0.123377,0.920741,0.9262,0.0469,0.001,29.64
5,10,,0.12264,0.137889,0.909926,0.915324,0.0536,0.001,29.63
5,11,,0.11909,0.128811,0.919101,0.922411,0.0484,0.001,29.66
5,12,,0.123651,0.128151,0.91873,0.925036,0.0465,0.001,29.63
5,13,,0.113977,0.113748,0.926376,0.930665,0.044,0.001,29.66
5,14,,0.110321,0.108956,0.93061,0.934915,0.0406,0.001,29.63
5,15,,0.107498,0.109362,0.927719,0.932889,0.0423,0.001,29.62
5,16,,0.101763,0.107075,0.927574,0.932094,0.0431,0.001,29.68
5,17,,0.098215,0.10878,0.933462,0.936237,0.0404,0.001,29.67
5,18,,0.095423,0.099226,0.933985,0.937299,0.039,0.001,29.66
5,19,,0.096903,0.107832,0.930932,0.935053,0.0408,0.001,29.65
5,20,,0.091145,0.100424,0.935372,0.939044,0.038,0.001,29.7
5,21,,0.089879,0.102837,0.935613,0.938515,0.0386,0.001,29.69
5,22,,0.0859,0.102198,0.936558,0.938769,0.0383,0.001,29.67
5,23,,0.085412,0.096115,0.938739,0.940763,0.0371,0.001,29.67
5,24,,0.086958,0.10125,0.933274,0.9375,0.039,0.001,29.72
5,25,,0.081478,0.098759,0.939416,0.941025,0.0367,0.001,29.66
5,26,,0.077933,0.095608,0.941585,0.943342,0.0357,0.001,29.7
5,27,,0.072883,0.101236,0.935938,0.938982,0.0386,0.00075,29.65
5,28,,0.069631,0.090876,0.941686,0.944109,0.0352,0.00075,29.67
5,29,,0.066856,0.089788,0.941925,0.944276,0.0349,0.00075,29.69
5,30,,0.062868,0.099283,0.940173,0.943324,0.0354,0.00075,29.68
